exp_1,exp_2,exp_3,L_re,L_im
4,0,3,-1.1600582149440264e-5,1.1315386056809373e-5
3,4,0,-1.6099235314543934e-7,-1.7978964365991164e-7
3,3,1,1.6335669605477103e-5,3.482318958287944e-23
3,2,2,0.2128513857051678,-0.04312328480494795
3,1,3,-0.013512619642511936,0.014011626822252321
3,0,4,1.463021374730971,0.6918125468745941
2,5,0,6.581033401808507e-11,9.028632007109147e-11
2,4,1,-8.415088515680062e-8,9.996588776537254e-8
2,3,2,0.2128513857051678,0.04312328480494795
2,2,3,-3.9823672569266932,-1.8785921218906333e-17
2,1,4,-4761.064975725656,-990.0270776284051
2,0,5,423.5565379699001,-236.73445422170767
1,6,0,-1.950825987314231e-13,-9.105519804597276e-13
1,5,1,1.9045875867081179e-10,-8.730902052257793e-10
1,4,2,-4.291679997350394e-5,2.4941662550955618e-5
1,3,3,-0.013512619642511936,-0.014011626822252321
1,2,4,-4761.064975725656,990.0270776284051
1,1,5,18805.84742588736,-1.379100078533151e-13
1,0,6,4.4547678647402795e6,-1.308743236040778e7
0,7,0,-9.499745076922389e-14,-1.8446366683190034e-13
0,6,1,2.2746680299836682e-11,-8.691490477277296e-11
0,5,2,-2.9748435894120726e-8,-4.9500489317916545e-8
0,4,3,-1.1600582149440264e-5,-1.1315386056809373e-5
0,3,4,1.463021374730971,-0.6918125468745941
0,2,5,423.5565379699001,236.73445422170767
0,1,6,4.4547678647402795e6,1.308743236040778e7
0,0,7,-3.743056355257237e7,0.0
8,0,0,-3.067688041969973e-14,4.559796319278892e-14
7,1,0,-4.176092875636463e-13,2.7877780201031717e-13
7,0,1,-4.895835069547867e-11,-1.5592694119254537e-11
6,2,0,-5.542761495542811e-13,-6.413086567839552e-13
6,1,1,-2.417501598877948e-10,2.213576923332689e-12
6,0,2,-1.4892113696450115e-9,-6.9453857262321596e-9
5,3,0,-1.6091137020578694e-10,-6.57094765499727e-11
5,2,1,4.087906990428485e-9,-2.3177045362815235e-8
5,1,2,-8.446588336749605e-9,1.2696425041695825e-7
5,0,3,-4.219214017652309e-6,-2.5835924138684074e-6
4,4,0,-6.972030252259278e-9,-8.000677932973499e-27
4,3,1,-0.0001450778435086494,7.187554898921872e-5
4,2,2,1.8841552208645473e-5,-1.0811261723364662e-6
4,1,3,0.0016044610693446426,-0.0016926286184553163
4,0,4,0.00033824859243480887,-0.0019242462114164027
3,5,0,-1.6091137020578694e-10,6.57094765499727e-11
3,4,1,-0.0001450778435086494,-7.187554898921872e-5
3,3,2,0.007162180654651573,2.893617229800748e-20
3,2,3,53.61770914731666,0.030756546099414805
3,1,4,-0.8629887833958492,-0.6445282218767829
3,0,5,-187.48395059541053,59.64847864746264
2,6,0,-5.542761495542811e-13,6.413086567839552e-13
2,5,1,4.087906990428485e-9,2.3177045362815235e-8
2,4,2,1.8841552208645473e-5,1.0811261723364662e-6
2,3,3,53.61770914731666,-0.030756546099414805
2,2,4,-1031.0452739226748,5.904120398209445e-15
2,1,5,-344014.32357902906,-121420.4626772285
2,0,6,-19263.309859701432,31127.063889454002
1,7,0,-4.176092875636463e-13,-2.7877780201031717e-13
1,6,1,-2.417501598877948e-10,-2.213576923332689e-12
1,5,2,-8.446588336749605e-9,-1.2696425041695825e-7
1,4,3,0.0016044610693446426,0.0016926286184553163
1,3,4,-0.8629887833958492,0.6445282218767829
1,2,5,-344014.32357902906,121420.4626772285
1,1,6,2.6239702215616703e6,-5.3743348824139076e-11
1,0,7,-3.7209236082168005e7,6.00325637020804e8
0,8,0,-3.067688041969973e-14,-4.559796319278892e-14
0,7,1,-4.895835069547867e-11,1.5592694119254537e-11
0,6,2,-1.4892113696450115e-9,6.9453857262321596e-9
0,5,3,-4.219214017652309e-6,2.5835924138684074e-6
0,4,4,0.00033824859243480887,0.0019242462114164027
0,3,5,-187.48395059541053,-59.64847864746264
0,2,6,-19263.309859701432,-31127.063889454002
0,1,7,-3.7209236082168005e7,-6.00325637020804e8
0,0,8,2.283181094592089e9,0.0
9,0,0,-2.2720724779397704e-14,-9.886354426753867e-15
8,1,0,1.7464772534476444e-14,-1.9978448583451742e-13
8,0,1,-8.4835806388752e-12,-1.14959843314044e-11
7,2,0,2.6687348161586974e-13,-6.681015163548491e-13
7,1,1,-4.084742406026319e-11,-5.417511407094069e-11
7,0,2,1.155115962089674e-9,-4.9052718525148455e-9
6,3,0,-1.0826241051398933e-11,1.1525966289176212e-11
6,2,1,-2.7872648390561884e-10,-4.0005244799149756e-10
6,1,2,-3.3905569447531536e-8,-8.91298594109767e-9
6,0,3,3.900359318576019e-7,1.5240523041776255e-6
5,4,0,1.4570798793800977e-8,-2.6191754731435097e-8
5,3,1,-8.82661855957582e-9,2.035893801540813e-8
5,2,2,1.1142231089771894e-5,-5.6192634894395785e-6
5,1,3,-2.3188114139927052e-7,1.1118952180755315e-5
5,0,4,0.0001337246012660387,-0.00040174286646177393
4,5,0,1.4570798793800977e-8,2.6191754731435097e-8
4,4,1,-5.320151282159607e-6,-5.952490233569236e-23
4,3,2,-0.08387516394748395,0.01917853137308745
4,2,3,0.007173217022142353,-0.005141218652696011
4,1,4,-0.4425785559470228,0.22493328686778113
4,0,5,0.11016745756387536,0.19929506915286765
3,6,0,-1.0826241051398933e-11,-1.1525966289176212e-11
3,5,1,-8.82661855957582e-9,-2.035893801540813e-8
3,4,2,-0.08387516394748395,-0.01917853137308745
3,3,3,2.632480017468282,7.53519851227415e-18
3,2,4,12817.228926931613,1443.473490136667
3,1,5,-64.84092856524512,99.94517813742277
3,0,6,10728.646783918375,-16823.224797220668
2,7,0,2.6687348161586974e-13,6.681015163548491e-13
2,6,1,-2.7872648390561884e-10,4.0005244799149756e-10
2,5,2,1.1142231089771894e-5,5.6192634894395785e-6
